Flight Number,Airline,Destination,Class,Price ($),Status,Departure Time
FL9367,Emirates,Algiers,Business,590.46,Cancelled,07:47
FL4322,Kuwait Airways,Berlin,Economy,147.02,Delayed,06:43
FL1804,Air France,Berlin,First Class,3730.29,Delayed,03:38
FL3112,Emirates,Doha,Business,462.07,On Time,13:09
FL3008,Kuwait Airways,Paris,Business,888.81,On Time,16:26
FL8160,Air France,Paris,First Class,3701.11,Delayed,17:30
FL3765,Air France,Paris,Business,968.34,Delayed,08:28
FL9097,Emirates,Rome,Business,557.53,On Time,16:23
FL5060,Qatar Airways,Algiers,First Class,2922.75,On Time,10:18
FL7288,ITA Airways,Madrid,First Class,2573.63,Cancelled,00:05
FL4714,Lufthansa,Rome,Economy,274.84,Cancelled,01:24
FL3405,ITA Airways,Berlin,Economy,225.32,On Time,02:19
FL9772,Air Algerie,Kuwait City,Economy,155.83,On Time,08:29
FL5376,Air France,Doha,Economy,65.3,On Time,14:25
FL9738,Lufthansa,Madrid,First Class,4800.2,Cancelled,06:45
FL8412,Kuwait Airways,Madrid,Economy,57.62,Cancelled,12:25
FL1779,Air France,Dubai,Economy,84.7,On Time,20:36
FL3046,Air France,Algiers,First Class,1572.07,Cancelled,05:52
FL9119,Kuwait Airways,Madrid,Business,995.63,Delayed,12:18
FL2650,Emirates,Dubai,Business,685.02,On Time,21:09
FL4783,Kuwait Airways,Rome,Economy,135.94,Cancelled,18:36
FL3510,Emirates,Dubai,Economy,296.55,Delayed,17:34
FL7271,Air France,Berlin,First Class,3463.61,Delayed,20:02
FL3776,Lufthansa,Paris,Economy,262.69,Delayed,02:46
FL9123,Air France,Berlin,Business,870.97,Delayed,22:58
FL2033,Air France,Doha,First Class,4692.44,On Time,01:29
FL8544,Lufthansa,Kuwait City,Business,923.24,On Time,07:13
FL2423,Qatar Airways,New York,First Class,2910.06,Delayed,15:31
FL7981,Qatar Airways,New York,Business,469.68,Cancelled,20:15
FL4398,Air France,Kuwait City,Business,574.34,Cancelled,07:50
FL2332,Air Algerie,Rome,Business,870.83,On Time,22:25
FL8954,Air France,Kuwait City,Economy,200.53,Delayed,02:37
FL5370,Air Algerie,Berlin,Business,527.81,Cancelled,06:04
FL4536,Air France,Doha,Economy,126.41,Delayed,03:08
FL7580,Air Algerie,Madrid,Economy,65.84,Cancelled,18:21
FL7104,Air Algerie,Kuwait City,First Class,4475.65,Delayed,05:10
FL8839,Air France,Berlin,Business,924.8,On Time,14:30
FL2935,Lufthansa,Berlin,Economy,239.62,Cancelled,06:25
FL5704,Emirates,Algiers,First Class,2299.85,On Time,11:48
FL2643,Lufthansa,Paris,First Class,2215.77,Delayed,14:34
FL3985,Lufthansa,Doha,First Class,1852.17,Delayed,21:59
FL7143,Emirates,Madrid,Business,506.9,On Time,08:58
FL3128,Lufthansa,New York,First Class,3353.61,Cancelled,16:33
FL5781,Lufthansa,Doha,Economy,215.56,Cancelled,06:30
FL5558,ITA Airways,Paris,First Class,4523.83,Cancelled,23:38
FL7096,Emirates,New York,First Class,4762.88,On Time,15:39
FL3202,Kuwait Airways,Madrid,Economy,85.47,Cancelled,11:11
FL4479,Air France,Dubai,Business,853.19,On Time,22:28
FL7912,Qatar Airways,Doha,Economy,96.69,On Time,12:54
FL6751,Air Algerie,Madrid,Economy,97.84,On Time,07:31
FL3851,ITA Airways,Madrid,First Class,3315.9,On Time,20:35
FL4211,Air France,New York,Economy,85.63,Delayed,21:36
FL4471,Air Algerie,Kuwait City,Economy,226.27,Delayed,01:28
FL2939,Qatar Airways,Kuwait City,First Class,4727.95,Cancelled,16:45
FL2695,Lufthansa,Algiers,Economy,218.08,Cancelled,16:27
FL1228,Air France,Dubai,Economy,194.41,On Time,08:00
FL4527,Kuwait Airways,Doha,First Class,4143.11,On Time,22:50
FL4138,Lufthansa,Kuwait City,First Class,3074.12,Delayed,12:52
FL3805,Air France,Madrid,Business,955.76,Delayed,07:34
FL2175,ITA Airways,Kuwait City,First Class,2185.63,Cancelled,03:49
FL7617,Qatar Airways,Rome,Economy,87.98,Cancelled,20:15
FL6531,Air Algerie,Doha,Economy,61.53,Cancelled,01:38
FL3163,Lufthansa,Algiers,First Class,4017.04,Delayed,21:15
FL7776,Emirates,Rome,Economy,192.51,Cancelled,08:12
FL1590,Qatar Airways,Kuwait City,First Class,4064.61,On Time,01:53
FL8069,Kuwait Airways,Madrid,Economy,296.27,Delayed,21:20
FL9047,Air France,Dubai,Economy,272.08,On Time,21:36
FL2054,Air France,Dubai,Business,520.29,Cancelled,20:38
FL9233,Kuwait Airways,Doha,Economy,81.05,Cancelled,01:19
FL8594,Lufthansa,Madrid,First Class,2837.02,Delayed,01:49
FL4581,Lufthansa,Paris,Economy,172.78,On Time,07:32
FL7252,Lufthansa,Kuwait City,First Class,3964.16,Delayed,01:37
FL3603,Lufthansa,Kuwait City,Economy,295.1,Cancelled,05:55
FL2380,Lufthansa,Berlin,First Class,4381.53,On Time,19:08
FL5254,Qatar Airways,Kuwait City,First Class,4697.81,Cancelled,22:29
FL8247,Lufthansa,Kuwait City,Business,906.83,On Time,15:13
FL8764,Lufthansa,Doha,First Class,2600.63,Cancelled,00:40
FL7552,Air France,Madrid,Economy,111.55,On Time,04:39
FL8520,Air France,Dubai,First Class,1291.9,Delayed,18:55
FL8602,ITA Airways,Madrid,Business,798.16,Delayed,09:20
FL9215,Air Algerie,Kuwait City,Business,936.88,Cancelled,00:01
FL3450,Emirates,Kuwait City,First Class,1444.56,Cancelled,10:49
FL7623,Air Algerie,Madrid,First Class,4663.8,Delayed,14:54
FL6188,Air Algerie,Doha,Economy,59.64,Cancelled,10:24
FL4646,Kuwait Airways,Madrid,Business,839.67,Delayed,17:13
FL9028,Air Algerie,Rome,First Class,3490.75,Cancelled,14:05
FL8124,Air France,Berlin,Economy,79.72,On Time,07:42
FL4411,ITA Airways,Berlin,Business,949.17,Delayed,12:16
FL4001,Emirates,New York,Economy,251.14,Delayed,01:00
FL9070,Kuwait Airways,Algiers,Economy,224.94,Cancelled,01:09
FL1411,Emirates,Kuwait City,Economy,287.3,On Time,14:16
FL3840,Kuwait Airways,Madrid,First Class,1344.57,On Time,02:42
FL4001,Emirates,Dubai,Business,575.71,On Time,18:37
FL3434,Qatar Airways,Rome,Economy,176.75,Delayed,07:00
FL7216,Air France,Berlin,First Class,3914.83,Cancelled,18:06
FL1803,Qatar Airways,Kuwait City,First Class,3206.76,Delayed,04:54
FL4291,Emirates,Doha,First Class,1735.32,On Time,09:31
FL3212,Kuwait Airways,Algiers,First Class,2697.64,On Time,10:33
FL9309,Emirates,Kuwait City,Business,842.66,Delayed,09:42
FL6325,Emirates,Algiers,First Class,4313.89,Delayed,02:57
FL8184,Qatar Airways,New York,Business,520.09,Delayed,14:29
FL3303,Kuwait Airways,Paris,Economy,109.06,On Time,02:57
FL8814,Kuwait Airways,Kuwait City,Economy,107.52,On Time,11:21
FL4102,Lufthansa,Kuwait City,Economy,296.15,Delayed,15:15
FL7505,Emirates,Rome,Business,879.78,On Time,20:17
FL4778,Air France,New York,First Class,3690.6,Cancelled,16:03
FL1934,Qatar Airways,Dubai,Business,471.1,On Time,00:28
FL3455,Air Algerie,Madrid,Economy,67.53,Cancelled,11:06
FL2558,ITA Airways,New York,Economy,244.48,Delayed,01:36
FL4394,ITA Airways,Rome,Business,566.14,On Time,23:55
FL2317,Kuwait Airways,Rome,First Class,3312.53,Cancelled,01:00
FL5700,Air France,Kuwait City,First Class,2364.74,Cancelled,16:37
FL9360,ITA Airways,Madrid,First Class,1785.5,Delayed,09:49
FL6250,Air Algerie,New York,First Class,2740.45,Cancelled,07:35
FL6961,ITA Airways,Berlin,Economy,139.75,On Time,22:42
FL4603,Qatar Airways,Rome,Business,927.34,Delayed,05:36
FL8924,Kuwait Airways,Berlin,Business,467.21,Delayed,22:02
FL4398,Air Algerie,Kuwait City,Economy,203.44,Cancelled,08:44
FL9412,Lufthansa,Kuwait City,Economy,189.65,Cancelled,22:26
FL4758,Kuwait Airways,Madrid,Business,585.36,Cancelled,10:39
FL8559,Air Algerie,Algiers,Business,632.71,On Time,10:33
FL8816,Lufthansa,Rome,Economy,112.13,Delayed,05:49
FL6543,ITA Airways,Berlin,Business,650.87,On Time,21:33
FL5672,Qatar Airways,Kuwait City,First Class,2324.58,Cancelled,03:22
FL7794,Qatar Airways,Doha,Business,449.46,Delayed,08:32
FL6497,Lufthansa,Madrid,Economy,101.65,On Time,13:12
FL9980,Air Algerie,New York,Business,560.01,Cancelled,01:45
FL5908,Kuwait Airways,Doha,First Class,3729.5,On Time,18:01
FL4103,Qatar Airways,Dubai,Business,977.96,On Time,22:05
FL5934,Emirates,Dubai,Economy,88.71,Delayed,10:41
FL9584,Qatar Airways,Algiers,First Class,4401.01,Delayed,01:11
FL4121,Kuwait Airways,New York,First Class,1968.74,Delayed,08:13
FL3526,Kuwait Airways,Berlin,First Class,3994.55,On Time,20:40
FL9106,Kuwait Airways,Kuwait City,Economy,69.79,Cancelled,13:53
FL8112,Lufthansa,Algiers,Business,935.74,Delayed,13:18
FL9864,ITA Airways,Doha,Business,496.03,Delayed,12:16
FL9031,Kuwait Airways,Madrid,First Class,1339.46,Cancelled,19:24
FL6874,Kuwait Airways,Algiers,First Class,4509.57,Cancelled,05:56
FL9654,ITA Airways,New York,Business,927.12,Delayed,16:00
FL9352,Emirates,Algiers,Economy,233.1,Cancelled,05:19
FL4149,Air France,Algiers,Business,957.45,Delayed,21:54
FL4558,Kuwait Airways,Kuwait City,Business,606.37,Cancelled,14:07
FL1615,Emirates,Dubai,Business,670.97,On Time,22:36
FL6033,ITA Airways,Rome,First Class,2050.03,On Time,18:22
FL6582,Emirates,Madrid,Business,614.11,On Time,09:31
FL9709,Qatar Airways,Kuwait City,Business,747.59,On Time,11:18
FL3809,Air Algerie,Doha,Economy,187.57,Delayed,18:56
FL8325,Kuwait Airways,Algiers,Business,767.63,Delayed,21:15
FL8926,Emirates,Madrid,First Class,3767.65,Delayed,18:16
FL5949,Kuwait Airways,Rome,Economy,181.85,Cancelled,04:07
FL5826,Emirates,Kuwait City,Economy,178.18,Cancelled,16:50
FL5202,Kuwait Airways,Paris,Business,481.41,On Time,00:12
FL7278,ITA Airways,Madrid,First Class,1693.55,Cancelled,01:52
FL2072,Air Algerie,Paris,Business,488.24,Cancelled,13:22
FL8046,ITA Airways,Kuwait City,First Class,4367.92,Delayed,14:15
FL3275,Air France,Doha,First Class,2548.41,Cancelled,14:15
FL7068,Kuwait Airways,Madrid,First Class,3463.33,Cancelled,09:18
FL5925,Lufthansa,Rome,Economy,71.46,On Time,21:18
FL2414,ITA Airways,Rome,Business,453.36,Delayed,19:48
FL4367,Air France,Madrid,Business,764.12,On Time,10:54
FL8448,Qatar Airways,Dubai,Economy,263.01,Cancelled,09:37
FL4081,ITA Airways,Dubai,Economy,109.01,Cancelled,21:57
FL7733,Kuwait Airways,New York,Business,451.41,On Time,04:56
FL8183,Qatar Airways,Algiers,Economy,75.15,Cancelled,17:01
FL8010,ITA Airways,New York,Business,568.4,On Time,18:08
FL9470,Lufthansa,Algiers,Business,758.59,Cancelled,00:00
FL5350,ITA Airways,Dubai,Economy,227.45,On Time,16:47
FL7420,Emirates,Madrid,Business,514.68,On Time,15:36
FL8250,Air Algerie,Berlin,First Class,2549.46,Cancelled,20:27
FL2365,Kuwait Airways,Rome,Economy,165.68,Cancelled,19:38
FL3244,Air France,Berlin,Economy,78.5,Cancelled,12:59
FL8095,ITA Airways,Dubai,First Class,3426.44,Delayed,10:38
FL5237,Kuwait Airways,Berlin,Business,816.97,Delayed,23:09
FL1817,Air France,Doha,Economy,186.2,On Time,00:57
FL7118,ITA Airways,Doha,Business,794.47,Delayed,05:09
FL1386,ITA Airways,Madrid,First Class,2754.03,Cancelled,12:41
FL8089,Air Algerie,Dubai,Business,433.67,Cancelled,16:46
FL4967,Qatar Airways,Algiers,First Class,1212.8,Delayed,14:46
FL2170,Lufthansa,Rome,Economy,50.14,On Time,00:29
FL1892,Emirates,Paris,Economy,107.68,On Time,04:56
FL5042,Lufthansa,Berlin,First Class,3056.25,On Time,11:56
FL4439,Qatar Airways,Rome,Business,656.6,Delayed,16:30
FL9145,Qatar Airways,Madrid,Business,983.58,Delayed,21:24
FL8123,Kuwait Airways,Kuwait City,Business,843.91,Cancelled,10:37
FL2725,Qatar Airways,New York,Economy,188.3,Delayed,15:13
FL3902,ITA Airways,Paris,Economy,184.21,On Time,01:27
FL8924,Qatar Airways,Madrid,Business,758.19,On Time,15:22
FL9601,Qatar Airways,Kuwait City,Business,499.18,Cancelled,11:38
FL5146,Air Algerie,New York,Economy,209.01,Cancelled,01:13
FL5238,ITA Airways,Kuwait City,Economy,58.62,Delayed,20:01
FL8083,Emirates,Berlin,Business,524.96,On Time,00:42
FL8259,Air Algerie,Madrid,Business,417.25,Cancelled,05:48
FL4579,Air France,Doha,Economy,82.27,On Time,01:47
FL4973,Emirates,Kuwait City,First Class,4716.23,On Time,20:14
FL3151,Lufthansa,Doha,Business,744.26,Delayed,12:01
FL6985,Qatar Airways,Algiers,Business,839.18,Delayed,01:46
FL6541,Kuwait Airways,Madrid,First Class,2454.49,On Time,01:59
FL1998,Air France,Dubai,First Class,1903.68,On Time,05:37
FL8068,Air Algerie,Dubai,First Class,4092.02,On Time,22:44
FL9456,Kuwait Airways,Rome,Economy,178.19,Cancelled,09:08
FL4008,Air Algerie,Dubai,First Class,4290.51,Cancelled,10:53
FL2958,Lufthansa,Doha,Business,697.57,On Time,10:39
FL2818,Emirates,New York,Business,519.82,Delayed,22:36
FL7149,Air Algerie,Kuwait City,Economy,106.98,Delayed,09:43
FL1721,Emirates,Madrid,Economy,91.56,Delayed,00:30
FL3552,ITA Airways,Berlin,First Class,3237.23,Cancelled,03:28
FL8423,Air France,Paris,First Class,2279.36,On Time,07:57
FL3044,ITA Airways,Madrid,Economy,146.3,Delayed,23:51
FL5004,Kuwait Airways,New York,Economy,280.17,Delayed,10:54
FL1481,ITA Airways,Paris,First Class,2273.02,Delayed,21:04
FL4116,Lufthansa,Doha,First Class,1268.16,Cancelled,06:12
FL6333,Air France,Rome,Economy,167.75,Cancelled,00:29
FL8759,Emirates,Madrid,Economy,255.6,On Time,13:47
FL4179,Air Algerie,Dubai,Business,787.5,Cancelled,05:30
FL2468,Air Algerie,Kuwait City,Economy,58.58,Delayed,01:33
FL9643,Qatar Airways,New York,Economy,215.79,On Time,12:19
FL1766,Air France,Kuwait City,Business,651.58,Delayed,17:53
FL2314,Emirates,Paris,First Class,4664.64,Cancelled,01:47
FL4625,Lufthansa,Rome,Business,580.33,Cancelled,04:44
FL7010,Lufthansa,Doha,Economy,209.61,On Time,23:26
FL1457,Air Algerie,New York,First Class,1335.59,Delayed,13:30
FL2196,Qatar Airways,Rome,Economy,240.1,Delayed,08:26
FL7613,Qatar Airways,Paris,First Class,1426.57,Delayed,07:21
FL3186,Air France,Kuwait City,Economy,229.54,On Time,11:42
FL5585,Kuwait Airways,Rome,Business,891.78,Delayed,03:50
FL1827,Lufthansa,New York,Business,430.92,Delayed,18:38
FL5428,Qatar Airways,Doha,Economy,110.3,Delayed,23:40
FL4211,Lufthansa,Doha,Business,902.25,On Time,07:39
FL9747,Air Algerie,Dubai,First Class,3471.91,On Time,04:14
FL3217,Emirates,Rome,Business,569.37,On Time,14:05
FL9034,Air Algerie,Algiers,First Class,3752.66,Cancelled,02:20
FL5658,Qatar Airways,New York,First Class,4643.26,Delayed,09:42
FL6816,Air Algerie,Doha,Economy,235.79,Cancelled,01:48
FL6210,Air Algerie,Dubai,Economy,221.46,On Time,06:51
FL5191,Kuwait Airways,Madrid,First Class,1557.2,Delayed,04:43
FL7840,Lufthansa,Dubai,Business,835.92,On Time,07:38
FL9403,Qatar Airways,Rome,First Class,2360.57,Cancelled,06:51
FL5269,Air France,Paris,First Class,1726.29,Cancelled,00:21
FL8533,Emirates,Algiers,First Class,3469.76,On Time,18:43
FL3471,Air France,Doha,Business,486.24,On Time,11:25
FL9781,Qatar Airways,Madrid,Economy,111.63,Cancelled,05:26
FL9669,Qatar Airways,Dubai,First Class,3966.19,Delayed,23:05
FL7796,Emirates,New York,Business,847.62,Cancelled,09:31
FL6766,Air Algerie,Madrid,First Class,3608.96,Cancelled,12:35
FL7205,Emirates,Dubai,Economy,73.23,Cancelled,22:47
FL3969,Qatar Airways,Rome,Economy,269.97,Cancelled,10:32
FL1036,ITA Airways,Rome,First Class,4375.86,Delayed,17:54
FL5367,Air Algerie,Berlin,Business,593.13,Delayed,21:20
FL7207,Emirates,Kuwait City,Economy,186.04,Delayed,10:59
FL8992,Qatar Airways,Madrid,First Class,1223.79,On Time,03:36
FL8430,ITA Airways,Dubai,Business,613.48,Cancelled,07:38
FL7893,Kuwait Airways,Rome,Business,556.35,Cancelled,08:37
FL7386,ITA Airways,Berlin,Economy,256.64,On Time,15:53
FL5560,Lufthansa,Algiers,First Class,4103.19,On Time,03:25
FL4773,Emirates,Kuwait City,Economy,194.03,On Time,10:47
FL2234,Kuwait Airways,Dubai,Business,862.84,Delayed,04:48
FL3943,Air Algerie,Paris,Business,572.24,On Time,18:46
FL3926,Qatar Airways,Algiers,Business,654.95,On Time,20:41
FL2005,Air Algerie,Rome,First Class,4123.46,Cancelled,09:15
FL9568,Lufthansa,Algiers,First Class,2096.77,On Time,22:31
FL2201,ITA Airways,Doha,Economy,50.18,Cancelled,11:24
FL5111,Lufthansa,Dubai,First Class,3147.28,On Time,21:16
FL9634,Kuwait Airways,Algiers,First Class,2450.01,On Time,13:16
FL5075,Air France,Kuwait City,Business,517.1,On Time,03:49
FL7997,Air France,Doha,First Class,4992.79,Cancelled,02:35
FL7776,Lufthansa,Berlin,Business,592.02,Delayed,16:19
FL1958,Kuwait Airways,Paris,Economy,270.09,On Time,17:48
FL5619,Lufthansa,Paris,First Class,2760.55,On Time,20:52
FL2682,Lufthansa,Berlin,First Class,1286.3,On Time,16:36
FL6632,Qatar Airways,Doha,First Class,3571.23,Delayed,22:14
FL9601,Lufthansa,Algiers,First Class,4583.08,Cancelled,07:38
FL3296,Kuwait Airways,Doha,Economy,83.22,Delayed,07:45
FL2008,Kuwait Airways,Paris,Business,956.9,On Time,06:04
FL2508,Air France,Paris,Economy,217.87,Cancelled,22:02
FL4284,Air Algerie,Berlin,First Class,4423.14,Delayed,08:21
FL8944,ITA Airways,Doha,Business,712.16,Delayed,05:22
FL4945,Air Algerie,Rome,Business,662.81,On Time,21:22
FL4038,Qatar Airways,Paris,Economy,127.83,Cancelled,23:31
FL3035,ITA Airways,Rome,First Class,3967.32,On Time,13:32
FL4882,Qatar Airways,Doha,First Class,3385.06,On Time,05:52
FL8875,Lufthansa,Paris,First Class,1265.92,On Time,07:44
FL8038,Emirates,Madrid,Business,529.5,On Time,01:14
FL8900,Qatar Airways,Paris,Economy,162.95,Cancelled,15:04
FL9958,ITA Airways,Berlin,Economy,179.86,Cancelled,07:55
FL8221,Qatar Airways,Rome,Business,586.61,On Time,02:44
FL1479,Kuwait Airways,Madrid,Economy,265.98,Delayed,01:23
FL7608,ITA Airways,Kuwait City,First Class,1576.89,Delayed,19:08
FL8836,Air Algerie,Paris,Business,705.38,Cancelled,00:35
FL6246,Air Algerie,Kuwait City,First Class,4309.76,Cancelled,08:45
FL1473,Emirates,Paris,Economy,242.65,Cancelled,17:37
FL9508,Lufthansa,Kuwait City,Economy,285.98,Delayed,02:08
FL9185,Qatar Airways,Dubai,First Class,3254.56,Delayed,07:30
FL9127,ITA Airways,Berlin,Business,891.55,Cancelled,13:12
FL1482,Qatar Airways,Doha,Economy,263.81,On Time,12:27
FL6394,Air Algerie,New York,Business,729.09,On Time,21:25
FL1484,Air France,Berlin,Business,594.65,Cancelled,17:38
FL3160,Air Algerie,Madrid,Economy,152.95,Delayed,05:32
FL2773,Emirates,Dubai,First Class,4403.85,On Time,16:54
FL5581,Lufthansa,New York,Business,576.17,On Time,13:51
FL7144,Kuwait Airways,Dubai,Economy,139.17,Cancelled,18:24
FL2606,Qatar Airways,Doha,Economy,56.92,Delayed,22:57
FL8775,Air Algerie,Rome,First Class,4615.85,On Time,03:44
FL5494,Air France,Dubai,Economy,208.55,Cancelled,17:46
FL4057,Lufthansa,Doha,Economy,292.41,On Time,02:35
FL8219,Lufthansa,New York,Economy,203.7,On Time,04:04
FL9379,Emirates,Rome,First Class,4125.49,Cancelled,01:17
FL6615,Emirates,Madrid,Business,884.55,On Time,09:54
FL2095,Emirates,Algiers,First Class,3156.37,Cancelled,21:44
FL4447,Kuwait Airways,Berlin,Business,655.05,Cancelled,23:52
FL6251,Emirates,Paris,First Class,2797.23,Cancelled,04:49
FL6847,Air Algerie,Paris,First Class,4389.09,Cancelled,18:56
FL2138,Air Algerie,New York,Economy,150.03,Delayed,02:26
FL1665,Qatar Airways,New York,Economy,250.59,Delayed,15:21
FL8855,Air France,Dubai,First Class,2065.34,Cancelled,16:43
FL8614,Air France,Dubai,Economy,151.0,On Time,12:33
FL8769,ITA Airways,Kuwait City,Economy,80.31,Cancelled,06:12
FL8835,Air Algerie,Madrid,Economy,128.0,Delayed,12:08
FL8272,Lufthansa,Doha,First Class,4674.37,On Time,02:42
FL3715,Air Algerie,Kuwait City,First Class,4728.28,Cancelled,11:17
FL7485,Qatar Airways,Kuwait City,Economy,123.95,On Time,11:24
FL4745,Lufthansa,Berlin,First Class,4610.4,Delayed,08:01
FL4860,Air France,Algiers,Business,717.48,Cancelled,18:27
FL8306,Air France,Kuwait City,Business,885.19,On Time,16:25
FL1574,Air France,New York,Business,485.29,Delayed,13:57
FL3200,Air France,New York,Business,609.1,Cancelled,00:36
FL7598,Air Algerie,Dubai,Business,626.44,On Time,07:26
FL5845,ITA Airways,Madrid,Business,781.64,Cancelled,05:44
FL2228,Kuwait Airways,Algiers,Economy,175.97,Delayed,23:23
FL7125,Emirates,New York,Business,611.74,On Time,09:55
FL4929,Air France,New York,Economy,244.25,On Time,18:03
FL7693,ITA Airways,Dubai,Business,603.13,Delayed,09:48
FL8961,Kuwait Airways,Berlin,Economy,127.02,Delayed,20:08
FL2286,ITA Airways,Kuwait City,First Class,4430.18,On Time,09:13
FL1652,Emirates,Paris,Business,885.67,Cancelled,10:47
FL9419,Air France,Paris,First Class,4909.38,Delayed,01:13
FL4009,ITA Airways,Doha,Economy,126.89,Cancelled,15:28
FL8968,Air France,New York,First Class,1307.58,Cancelled,07:20
FL8993,Air Algerie,New York,Economy,110.22,Delayed,01:48
FL1242,Air Algerie,Paris,Business,831.77,Cancelled,21:22
FL5995,Emirates,New York,Economy,103.85,On Time,13:39
FL6321,Air Algerie,Algiers,First Class,3613.32,Cancelled,14:13
FL7497,Qatar Airways,New York,Economy,73.13,Cancelled,00:28
FL6036,Qatar Airways,Berlin,First Class,2159.2,On Time,10:08
FL6940,ITA Airways,Dubai,First Class,4135.39,Delayed,23:17
FL9443,ITA Airways,Rome,Business,779.93,Cancelled,15:45
FL9544,ITA Airways,New York,Economy,165.96,Cancelled,10:34
FL1122,Kuwait Airways,Dubai,Business,990.46,Cancelled,06:31
FL4872,Kuwait Airways,Doha,Economy,187.45,Cancelled,02:09
FL1668,ITA Airways,Madrid,First Class,2251.04,Cancelled,16:53
FL4611,Kuwait Airways,New York,First Class,1402.73,Cancelled,17:47
FL9665,Air France,New York,Business,756.73,Delayed,23:07
FL5895,Emirates,Berlin,Business,956.84,Cancelled,12:26
FL8179,ITA Airways,Berlin,Economy,288.52,Delayed,07:59
FL6767,Air France,Dubai,Economy,239.69,Delayed,12:57
FL4729,Air France,Madrid,Economy,179.42,On Time,21:32
FL4660,Air Algerie,Doha,First Class,4699.82,Delayed,02:37
FL7286,Lufthansa,Dubai,Business,647.48,Cancelled,10:22
FL4849,Emirates,Rome,First Class,1443.74,Cancelled,09:22
FL1079,Air France,Doha,First Class,4957.76,On Time,05:35
FL4972,Emirates,Doha,Economy,249.25,Cancelled,08:24
FL4972,Qatar Airways,Kuwait City,Economy,255.98,On Time,01:01
FL5631,Emirates,Doha,Economy,126.15,Cancelled,23:56
FL4061,Qatar Airways,Algiers,Business,409.49,Delayed,01:33
FL2037,Air France,Madrid,Economy,107.8,Delayed,01:39
FL6518,ITA Airways,Paris,First Class,4322.78,Delayed,19:09
FL5594,Emirates,Kuwait City,Business,467.71,Cancelled,02:10
FL4173,Kuwait Airways,Dubai,Business,681.11,On Time,17:53
FL7008,Qatar Airways,Madrid,Economy,143.26,On Time,01:46
FL9468,Emirates,Dubai,Economy,135.14,Delayed,14:29
FL7141,Emirates,Doha,First Class,4060.03,Delayed,06:22
FL3610,Lufthansa,Kuwait City,Economy,131.14,Delayed,11:04
FL5525,ITA Airways,Dubai,First Class,3583.62,On Time,12:18
FL5863,Kuwait Airways,Berlin,Business,481.58,Delayed,12:33
FL6309,Lufthansa,New York,Business,992.8,Delayed,05:14
FL3656,Emirates,Berlin,First Class,1419.99,On Time,19:56
FL2360,Lufthansa,Madrid,First Class,4949.18,On Time,22:28
FL1543,Air France,Rome,Business,409.87,Delayed,21:55
FL1352,Air Algerie,Rome,Business,442.58,On Time,01:36
FL3996,Emirates,Paris,Economy,100.69,Cancelled,21:35
FL2912,Qatar Airways,Algiers,Business,659.25,Cancelled,02:39
FL6889,Emirates,Madrid,Economy,54.26,On Time,14:13
FL9324,Qatar Airways,Paris,Economy,115.9,Delayed,12:40
FL4644,Air Algerie,Madrid,First Class,3134.13,Cancelled,14:32
FL2884,Emirates,Kuwait City,First Class,2052.78,Cancelled,02:04
FL2809,Kuwait Airways,Rome,Economy,123.3,Delayed,20:15
FL7495,Air Algerie,Algiers,Business,714.12,Delayed,05:40
FL1383,Air France,Algiers,Economy,108.82,Cancelled,14:18
FL5978,Emirates,Madrid,First Class,2927.72,Delayed,20:25
FL4271,Lufthansa,Berlin,Business,817.74,On Time,03:01
FL9828,ITA Airways,Rome,Economy,160.66,Delayed,10:08
FL6733,Air France,Algiers,First Class,2841.71,On Time,16:08
FL4677,Kuwait Airways,Doha,Economy,209.1,Delayed,00:34
FL8713,Emirates,Paris,Business,603.88,On Time,08:48
FL4708,Lufthansa,New York,First Class,3556.28,Cancelled,21:54
FL8381,Emirates,Algiers,Economy,163.09,Cancelled,16:57
FL8292,Lufthansa,Doha,Business,419.49,Delayed,20:00
FL7076,ITA Airways,Rome,First Class,2075.07,On Time,04:54
FL5125,Lufthansa,Algiers,Economy,115.74,Cancelled,00:23
FL8472,Air Algerie,Kuwait City,First Class,1845.1,Delayed,02:22
FL2851,Kuwait Airways,Rome,First Class,4201.24,Delayed,22:35
FL8168,Lufthansa,Kuwait City,Business,652.94,On Time,17:36
FL9411,Lufthansa,Rome,Business,797.9,On Time,00:00
FL8661,Air Algerie,Rome,First Class,3493.32,Cancelled,00:26
FL2960,Kuwait Airways,Paris,Economy,80.55,On Time,21:02
FL3525,ITA Airways,Dubai,Business,754.31,Cancelled,21:42
FL2972,Kuwait Airways,Kuwait City,Business,555.22,Cancelled,16:06
FL3493,Emirates,Paris,First Class,3370.68,Delayed,12:42
FL4622,Air France,Algiers,First Class,3595.89,On Time,20:40
FL3789,Air France,New York,Business,419.29,On Time,20:54
FL3045,Kuwait Airways,Rome,Economy,266.75,On Time,23:10
FL8244,ITA Airways,Madrid,Economy,145.0,On Time,04:26
FL3504,Lufthansa,Rome,Economy,253.37,On Time,23:48
FL5648,Kuwait Airways,Berlin,First Class,4805.82,On Time,08:19
FL8004,Qatar Airways,Dubai,First Class,3950.88,Delayed,00:04
FL1029,Emirates,Berlin,First Class,3646.98,Delayed,13:21
FL2653,ITA Airways,Algiers,Business,825.21,Cancelled,02:06
FL9630,Air Algerie,Doha,Business,516.21,On Time,06:02
